#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.021	0.509
1	2	2	0.042	1.018
1	4	4	0.085	2.036
1	8	8	0.170	4.071
1	16	16	0.170	4.078
1	32	32	0.170	4.081
1	64	64	0.170	4.081
1	128	128	0.170	4.081
1	256	256	0.170	4.081
2	256	512	0.170	4.081
3	256	768	0.170	4.081
4	256	1024	0.227	5.442
5	256	1280	0.283	6.802
6	256	1536	0.340	8.162
7	256	1792	0.350	8.411
8	256	2048	0.359	8.624
9	256	2304	0.367	8.819
10	256	2560	0.353	8.460
11	256	2816	0.345	8.285
12	256	3072	0.341	8.175
13	256	3328	0.341	8.176
14	256	3584	0.340	8.161
15	256	3840	0.339	8.125
16	256	4096	0.340	8.151
17	256	4352	0.341	8.195
18	256	4608	0.341	8.190
19	256	4864	0.342	8.198
20	256	5120	0.342	8.204
21	256	5376	0.339	8.135
22	256	5632	0.341	8.190
23	256	5888	0.342	8.209
24	256	6144	0.341	8.173
25	256	6400	0.342	8.210
26	256	6656	0.342	8.205
27	256	6912	0.341	8.186
28	256	7168	0.342	8.201
29	256	7424	0.342	8.203
30	256	7680	0.341	8.175
31	256	7936	0.342	8.201
32	256	8192	0.342	8.203
64	256	16384	0.342	8.199
128	256	32768	0.342	8.197
256	256	65536	0.341	8.178
512	256	131072	0.341	8.187
1024	256	262144	0.341	8.193
