#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.123	2.951
1	2	2	0.246	5.902
1	4	4	0.492	11.804
1	8	8	0.984	23.608
1	16	16	0.994	23.854
1	32	32	0.999	23.980
1	64	64	0.999	23.980
1	128	128	0.999	23.980
1	256	256	0.999	23.980
2	256	512	0.999	23.980
3	256	768	0.999	23.980
4	256	1024	1.332	31.959
5	256	1280	1.664	39.932
6	256	1536	1.996	47.898
7	256	1792	2.001	48.016
8	256	2048	2.004	48.090
9	256	2304	1.992	47.813
10	256	2560	1.995	47.890
11	256	2816	1.996	47.903
12	256	3072	1.996	47.898
13	256	3328	1.997	47.931
14	256	3584	1.997	47.919
15	256	3840	1.998	47.954
16	256	4096	1.996	47.912
17	256	4352	1.996	47.908
18	256	4608	1.996	47.903
19	256	4864	1.996	47.908
20	256	5120	1.996	47.910
21	256	5376	1.917	45.996
22	256	5632	1.996	47.903
23	256	5888	1.996	47.910
24	256	6144	1.996	47.908
25	256	6400	1.996	47.914
26	256	6656	1.991	47.793
27	256	6912	1.995	47.871
28	256	7168	1.976	47.413
29	256	7424	1.978	47.468
30	256	7680	1.984	47.614
31	256	7936	1.984	47.619
32	256	8192	1.982	47.577
64	256	16384	1.993	47.828
128	256	32768	1.993	47.832
256	256	65536	1.995	47.868
512	256	131072	1.995	47.874
1024	256	262144	1.995	47.870
2048	256	524288	1.995	47.870
4096	256	1048576	1.995	47.870
8192	256	2097152	1.995	47.870
16384	256	4194304	1.995	47.870
