#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.126	3.028
1	2	2	0.252	6.055
1	4	4	0.505	12.111
1	8	8	1.009	24.222
1	16	16	1.014	24.344
1	32	32	1.017	24.406
1	64	64	1.017	24.406
1	128	128	1.017	24.406
1	256	256	1.017	24.406
2	256	512	1.017	24.406
3	256	768	1.017	24.406
4	256	1024	1.356	32.539
5	256	1280	1.695	40.671
6	256	1536	2.033	48.803
7	256	1792	2.035	48.836
8	256	2048	2.036	48.856
9	256	2304	2.032	48.775
10	256	2560	2.033	48.802
11	256	2816	2.034	48.804
12	256	3072	2.034	48.804
13	256	3328	2.034	48.815
14	256	3584	2.034	48.809
15	256	3840	2.034	48.817
16	256	4096	2.034	48.807
17	256	4352	2.034	48.806
18	256	4608	2.034	48.805
19	256	4864	2.034	48.806
20	256	5120	2.034	48.804
21	256	5376	2.022	48.517
22	256	5632	2.022	48.531
23	256	5888	2.034	48.804
24	256	6144	2.034	48.804
25	256	6400	2.034	48.805
26	256	6656	2.032	48.758
27	256	6912	2.035	48.847
28	256	7168	2.033	48.799
29	256	7424	2.026	48.634
30	256	7680	2.030	48.731
31	256	7936	2.031	48.733
32	256	8192	2.032	48.764
64	256	16384	2.039	48.943
128	256	32768	2.034	48.810
256	256	65536	2.033	48.794
512	256	131072	2.033	48.795
1024	256	262144	2.033	48.794
2048	256	524288	2.027	48.647
4096	256	1048576	2.030	48.719
8192	256	2097152	2.031	48.751
