#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.013	0.302
1	2	2	0.025	0.605
1	4	4	0.050	1.210
1	8	8	0.101	2.419
1	16	16	0.101	2.424
1	32	32	0.101	2.427
1	64	64	0.101	2.427
1	128	128	0.101	2.427
1	256	256	0.101	2.427
2	256	512	0.101	2.427
3	256	768	0.101	2.427
4	256	1024	0.135	3.236
5	256	1280	0.169	4.044
6	256	1536	0.202	4.853
7	256	1792	0.203	4.863
8	256	2048	0.203	4.872
9	256	2304	0.203	4.868
10	256	2560	0.203	4.875
11	256	2816	0.203	4.880
12	256	3072	0.203	4.880
13	256	3328	0.203	4.873
14	256	3584	0.203	4.873
15	256	3840	0.203	4.873
16	256	4096	0.203	4.872
17	256	4352	0.203	4.874
18	256	4608	0.203	4.879
19	256	4864	0.203	4.875
20	256	5120	0.203	4.870
21	256	5376	0.205	4.931
22	256	5632	0.202	4.844
23	256	5888	0.202	4.842
24	256	6144	0.204	4.894
25	256	6400	0.203	4.871
26	256	6656	0.202	4.845
27	256	6912	0.203	4.867
28	256	7168	0.202	4.847
29	256	7424	0.203	4.866
30	256	7680	0.201	4.831
31	256	7936	0.204	4.890
32	256	8192	0.201	4.833
64	256	16384	0.203	4.862
128	256	32768	0.203	4.873
256	256	65536	0.203	4.869
512	256	131072	0.203	4.870
1024	256	262144	0.203	4.870
2048	256	524288	0.203	4.867
4096	256	1048576	0.203	4.869
